title,year,genres
Glitterbug,1994,Biography
"Ella Lola, a la Trilby",1898,Short
Primus Hallucino-Genetics Live 2004,2004,Music
La cravate,1957,Short|Comedy
It's My Mother's Birthday Today,2008,Short|Musical
Spare Bed-Room,1969,Short
Madame Bovary,2000,Drama|Romance
Christmas Oranges,2012,Drama|Family
Clockwork Mice,1995,Drama
Lettera Amorosa,1995,Short|Comedy|Drama
Passeio com Johnny Guitar,1996,Short
Conserva Acabada,1990,Short|Comedy
Complicit,2013,Drama|Thriller
Conquest of Cochise,1953,Western
Danger Zone,1996,Action|Drama
Ecstasy in Entropy,1999,Short
Let's Spend the Night Together,1982,Documentary|Music
Say It with Songs,1929,Drama|Musical
Zanjeer,1973,Action|Crime|Drama
Whoregasm,1988,Short|Adult
Kiss Me Goodbye,1986,Short
Thrust in Me,1985,Short
The Wild World of Lydia Lunch,1983,Short
Fillmore,1972,Documentary|Music
The Forgotten Faces,1961,Short|Drama|History
"T,O,U,C,H,I,N,G",1969,Short
The Menacing Eye,1960,Short
In Order Not to Be Here,2002,Short
The Hearts of Age,1934,Short
A True Mob Story,1998,Action|Crime|Drama
Un centesimo di secondo,1981,Drama|Sport
Sekirei,2008,Animation|Action|Comedy
If I'm Lucky,1946,Comedy|Music|Romance
Where Do We Go from Here?,1945,Fantasy|Musical
Sally,1929,Musical
Howling VI: The Freaks,1991,Comedy|Drama|Horror
American Black Beauty,2005,Family
The Wrong Woman,2013,Drama
Expecting Amish,2014,Drama
Night Song,1947,Drama|Romance|Music
Two Tickets to Broadway,1951,Musical|Romance
The First Traveling Saleslady,1956,Comedy|Western
Nana,1926,Drama|Romance
"John Goldfarb, Please Come Home!",1965,Comedy
Oliver Twist,1999,Crime|Drama
The Substitute 3: Winner Takes All,1999,Action|Crime|Thriller
The Last Flight,1931,Drama
Starlift,1951,Comedy|Drama|Music
Ben-hur,2016,Action|Adventure|Drama
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Action|Adventure|Fantasy
The Trans-Atlantic Mystery,1932,Short|Mystery
Hammersmith Is Out,1972,Comedy|Drama
The Racers,1955,Drama|Sport
No Greater Glory,1934,Drama|War
Red Dust,1990,Drama|Romance|War
Left for Dead,2007,Action|Horror|Western
Street Girl,1929,Drama|Musical|Romance
The Divine Woman,1928,Drama|Romance
Lease of Life,1954,Drama
The Great Man,1956,Drama
State Fair,1962,Musical|Romance
Katherine,1975,Drama
Conspiracy: The Trial of the Chicago 8,1987,Documentary|Drama|History
Crown Heights,2004,Drama
Cyrano et D'Artagnan,1964,Adventure
Heatseeker,1995,Action|Drama|Sci-Fi
Poster Girl,2010,Documentary|Short|Biography
Newlyweeds,2013,Comedy|Drama
