movieId,title,genres,year
83773,Away with Words,(no genres listed),1999
86493,"Age of the Earth, The",(no genres listed),1980
87061,Trails,(no genres listed),1978
91246,Milky Way,(no genres listed),2007
92435,"Dancing Hawk, The",(no genres listed),1978
92641,Warsaw Bridge,(no genres listed),1990
95750,Promise of the Flesh,(no genres listed),1975
96479,Nocturno 29,(no genres listed),1968
96651,Les hautes solitudes,(no genres listed),1974
114725,"Study in Choreography for Camera, A",(no genres listed),1945
116287,"Crime and Punishment, USA",(no genres listed),1959
117847,Little Hamlet,(no genres listed),1960
119878,Solomon Northup's Odyssey,(no genres listed),1984
121581,Blablablá,(no genres listed),1975
122687,Black Horizon,(no genres listed),2002
122988,Someone To Love,(no genres listed),1988
123044,Stalingrad,(no genres listed),1989
123061,"Goodbye, Mr. President",(no genres listed),1987
123117,The American Success Company,(no genres listed),1980
123333,Lucrèce Borgia,(no genres listed),1935
123339,Tower of Nesle,(no genres listed),1955
123371,Struggle in the Valley,(no genres listed),1954
123397,Lotte from Gadgetville,(no genres listed),2006
123729,Lily Boy,(no genres listed),1954
123830,Le port du désir,(no genres listed),1955
123892,When a Woman Meddles,(no genres listed),1957
123913,Gribouille,(no genres listed),1937
123915,Entrée des artistes,(no genres listed),1938
124007,I Love Lucy: The Movie,(no genres listed),1953
124464,Iceberg Slim: Portrait of a Pimp,(no genres listed),2013
124631,Le joli mai,(no genres listed),1966
124733,The Day Mars Invaded Earth,(no genres listed),1963
124765,"Mysterious Island, The",(no genres listed),1929
124795,The Divine Lady,(no genres listed),1929
124921,Melody for a Street Organ,(no genres listed),2009
124937,Willow and Wind,(no genres listed),2000
125127,Voyna i mir III. - Borogyino,(no genres listed),1967
125273,Tenchu!,(no genres listed),1969
125377,The Sheriff of Fractured Jaw,(no genres listed),1959
125423,Gunslinger's Revenge,(no genres listed),1998
125605,Jubilation Street,(no genres listed),1943
125650,Corruzione al palazzo di giustizia,(no genres listed),1975
125700,Hard Luck Hero,(no genres listed),2003
125840,The Deserter,(no genres listed),1970
125864,Red Ensign,(no genres listed),1934
