movieId,title,genres,year
79607,"Millions Game, The (Das Millionenspiel)",Action|Drama|Sci-Fi|Thriller,
123619,Terrible Joe Moran,(no genres listed),
125571,The Court-Martial of Jackie Robinson,(no genres listed),
125632,In Our Garden,(no genres listed),
125958,Stephen Fry In America - New World,(no genres listed),
126438,Two: The Story of Roman & Nyro,Documentary|Drama,
127005,A Year Along the Abandoned Road,(no genres listed),
128612,Body/Cialo,Comedy|Drama|Mystery,
128734,Polskie gówno,Comedy|Musical,
129651,The Third Reich: The Rise & Fall,(no genres listed),
129697,La vendetta dei barbari,Action|Drama,
129705,My Own Man,(no genres listed),
129887,Moving Alan,(no genres listed),
130322,Zone 261,Horror,
130454,Michael Laudrup - en Fodboldspiller,(no genres listed),
130542,Honky,Drama,
131198,Blueberry Hill,(no genres listed),
131225,Pleasure Palace,(no genres listed),
131280,Terror on the 40th Floor,(no genres listed),
131606,My Boyfriend's Back,(no genres listed),
132000,One Night Only,Comedy,
132948,Doli Saja Ke Rakhna,(no genres listed),
133276,The Dead Lands,Action,
134254,"C'mon, Let's Live a Little",(no genres listed),
134908,For a Book of Dollars,(no genres listed),
135354,Twins from Texas,(no genres listed),
135691,Señorita Justice,(no genres listed),
136028,Flash and Firecat,(no genres listed),
136299,Red Victoria,Comedy|Horror,
136880,Vaastupurush,(no genres listed),
137284,Sierra Leone's Refugee All Stars,(no genres listed),
137292,L'uomo della carità,(no genres listed),
137411,The Big Fall,Action,
137443,Wolves In The Snow,Action|Crime|Drama|Thriller,
137845,Amazon Falls,(no genres listed),
137990,Dark Tides,(no genres listed),
138042,The Ritual,(no genres listed),
138120,The Expedition,(no genres listed),
138518,Chinese Boxes,(no genres listed),
139596,Danielův svět,(no genres listed),
140129,The Near Room,(no genres listed),
140224,Filmage: The Story of Descendents/All,Documentary,
140377,About Sarah,Drama,
140605,La steppa,(no genres listed),
140874,Swallows and Amazons,(no genres listed),
140956,Ready Player One,Action|Sci-Fi|Thriller,
141442,Los tontos y los estúpidos,(no genres listed),
141507,Ride in a Pink Car,(no genres listed),
141708,Disaster Playground,Documentary,
141745,Nice Guy,(no genres listed),
141858,"OMG, I'm a Robot!",(no genres listed),
141930,KillerSaurus,Horror|Sci-Fi,
142490,Viva,(no genres listed),
142913,Ollaan vapaita,(no genres listed),
143410,Hyena Road,(no genres listed),
144054,Asphalt Angels,(no genres listed),
144528,Fakta Ladh Mhana,(no genres listed),
144726,Man Crazy,(no genres listed),
145650,Roger la Honte,(no genres listed),
146010,Sentimentalnyy roman,(no genres listed),
146082,Yedyanchi Jatra,Children|Comedy|Drama,
146106,Dhadakebaaz,(no genres listed),
146112,Ittefaq,(no genres listed),
146344,Elämältä kaiken sain,Comedy|Drama,
146364,Dil Kya Kare,(no genres listed),
146370,Hogi Pyar Ki Jeet,(no genres listed),
146429,Monk by Blood,(no genres listed),
146463,I Am Syd Stone,(no genres listed),
146475,Alone With People,Comedy|Drama,
146740,Proibito Rubare - Luigi Comencini,(no genres listed),
146796,Le strelle nel fosso,(no genres listed),
147188,38 Parrots,Animation|Children,
147250,The Adventures of Sherlock Holmes and Doctor Watson,(no genres listed),
147450,Amigo Undead,(no genres listed),
148093,The Republic ,Action|Crime|Thriller,
148254,A Dark Place Inside,(no genres listed),
148677,Ουζερί Τσιτσάνης,(no genres listed),
149009,She Who Must Burn,(no genres listed),
149080,A Fare to Remember,(no genres listed),
149090,The Code,(no genres listed),
149296,Unlocking the Cage,(no genres listed),
149334,Nocturnal Animals,Drama|Thriller,
149502,101次求婚,(no genres listed),
149715,S: Saigo no Keikan - Dakkan: Recovery of Our Future,(no genres listed),
149757,The Frog Prince,Children,
150020,Vrijdag,(no genres listed),
150655,Aimy in a Cage,Drama|Fantasy|Sci-Fi,
150657,Trophy Kids,Documentary,
150868,Jasne Błękitne Okna,(no genres listed),
150888,Mr. Kuka's Advice,(no genres listed),
151307,The Lovers and the Despot,(no genres listed),
151517,Beauty and the Breast,(no genres listed),
151655,Hundra,Adventure|Fantasy,
151693,Holy Hell,(no genres listed),
151955,Veljet,Documentary,
151967,Pyaar Tune Kya Kiya,(no genres listed),
152523,"Vous êtes très jolie, mademoiselle",(no genres listed),
152808,Main Madhuri Dixit Banna Chahti Hoon!,(no genres listed),
152814,Dhund: The Fog,Thriller,
152840,The Grave Digger,(no genres listed),
152884,Vaastu Shastra,(no genres listed),
