movieId,title,genres,year
79607,"Millions Game, The (Das Millionenspiel)",Action|Drama|Sci-Fi|Thriller,
125958,Stephen Fry In America - New World,(no genres listed),
127005,A Year Along the Abandoned Road,(no genres listed),
128612,Body/Cialo,Comedy|Drama|Mystery,
129651,The Third Reich: The Rise & Fall,(no genres listed),
129697,La vendetta dei barbari,Action|Drama,
130322,Zone 261,Horror,
134908,For a Book of Dollars,(no genres listed),
136028,Flash and Firecat,(no genres listed),
137284,Sierra Leone's Refugee All Stars,(no genres listed),
139596,Danielův svět,(no genres listed),
140605,La steppa,(no genres listed),
141442,Los tontos y los estúpidos,(no genres listed),
141858,"OMG, I'm a Robot!",(no genres listed),
142913,Ollaan vapaita,(no genres listed),
146010,Sentimentalnyy roman,(no genres listed),
146370,Hogi Pyar Ki Jeet,(no genres listed),
146740,Proibito Rubare - Luigi Comencini,(no genres listed),
148677,Ουζερί Τσιτσάνης,(no genres listed),
149715,S: Saigo no Keikan - Dakkan: Recovery of Our Future,(no genres listed),
150888,Mr. Kuka's Advice,(no genres listed),
151307,The Lovers and the Despot,(no genres listed),
153184,Vergeef me,(no genres listed),
153967,Jew Like Me,(no genres listed),
153973,Langer Licht,(no genres listed),
156571,The Twin Girls of Sunset Street,(no genres listed),
157787,.hack Liminality: In the Case of Mai Minase,(no genres listed),
157789,.hack Liminality In the Case of Yuki Aihara,(no genres listed),
157791,.hack Liminality In the Case of Kyoko Tohno,(no genres listed),
158870,The Monkey King the Legend Begins,Action|Adventure|Fantasy,
159259,The Serious Game,(no genres listed),
162224,"El Bosco, el jardín de los sueños",Documentary,
165821,Rodnye (Close Relations),Documentary,
166548,Dvadtsat shest dney iz zhizni Dostoevskogo,(no genres listed),
168278,Science Fiction Volume One: The Osiris Child,Sci-Fi,
168356,Bienvenido a Veraz,Drama,
169230,Winning Favour,(no genres listed),
169240,Whn the day had no name,(no genres listed),
170745,13 reasons why,(no genres listed),
171749,Death Note: Desu nôto (2006–2007),(no genres listed),
172673,Supermassive Black Holes,Documentary,
172739,Игра на выбывание,(no genres listed),
174953,Mundo Cão,(no genres listed),
175335,The Garden of Afflictions 2017,(no genres listed),
175511,Engineering Red,(no genres listed),
177265,Checkmate,(no genres listed),
177485,With love,Documentary,
178619,Vilaieha,(no genres listed),
179479,"Samadhi Part 1: Maya, the Illusion of the Self",Documentary,
181435,Inside John Lennon - Unauthorized,(no genres listed),
181637,Frangi,(no genres listed),
181685,به نام پدر,(no genres listed),
182723,Cosmos: A Spacetime Odissey,(no genres listed),
183247,Начальник,(no genres listed),
183935,Made in Italy,(no genres listed),
183947,NOFX Backstage Passport 2,(no genres listed),
185985,Scott and Sid,Drama,
187965,Sanctuary,(no genres listed),
188595,Bubblegum,(no genres listed),
188853,Class Reunion 2: A Wedding and a Funeral,Comedy,
190937,Tell Me Your Name,Horror|Thriller,
192001,His Last Vow,(no genres listed),
192113,Nakimushi Shottan no Kiseki,Drama,
192339,The Sign of Three,(no genres listed),
193149,¿Qué te juegas?,(no genres listed),
194476,Honey Badgers: Masters of Mayhem,(no genres listed),
194590,Территория Джа,Comedy|Fantasy|Sci-Fi,
194909,Tafanos - Killer Mosquitos,(no genres listed),
195433,"Baikonur, Earth",Documentary,
195773,Les Flâneries du voyant,(no genres listed),
196097,The Zen Diaries of Garry Shandling: Parts 1 & 2,Comedy|Documentary,
196201,Девочки,(no genres listed),
196303,Peshavarskiy vals,(no genres listed),
196471,Przyjecie na 10 osob plus 3,(no genres listed),
197135,Old Man,(no genres listed),
203717,Knox: The Life and Legacy of Scotland's Controversial Reformer,(no genres listed),
203922,Sherlock: The Blind Banker,Crime|Mystery,
204248,Waiting for the Storm,(no genres listed),
204898,Burdock,(no genres listed),
204974,Десять минут первого,Comedy,
206174,NOVA: Prediction by the Numbers,Documentary,
206198,The Night Bulletin,Horror|Thriller,
206781,The Black Legend of Mexican Cinema,(no genres listed),
